SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28,SC29,SC30,SC31,SC32,SC33,SC34,SC35,SC36,SC37,SC38,SC39,SC40,SC41,AVERAGE
43.0,53.0,61.0,72.0,30.0,50.0,40.0,44.0,50.0,74.0,66.0,50.0,43.0,57.0,29.0,50.0,54.0,62.0,60.0,53.0,46.0,74.0,52.0,40.0,78.0,33.0,47.0,2.7,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,50.4
65.0,65.0,74.0,60.0,52.0,65.0,74.0,80.0,64.0,75.0,47.0,50.0,62.0,66.0,66.0,50.0,74.0,69.0,78.0,61.0,70.0,72.0,88.0,62.0,70.0,62.0,50.0,70.0,67.0,54.0,59.0,76.0,67.0,65.0,63.0,70.0,70.0,75.0,54.0,64.0,66.0,65.6
53.0,45.0,56.0,35.0,51.0,39.0,51.0,52.0,46.0,63.0,51.0,45.0,71.0,36.0,25.0,22.0,22.0,27.0,60.0,25.0,34.0,64.0,22.0,32.0,34.0,63.0,57.0,49.0,46.0,51.0,51.0,61.0,45.0,76.0,45.0,46.0,41.0,50.0,23.0,80.0,60.0,46.5
41.0,40.0,29.0,42.0,56.0,62.0,44.0,6.0,71.0,34.0,64.0,63.0,53.0,41.0,51.0,48.0,52.0,48.0,59.0,47.0,48.0,61.0,61.0,51.0,48.0,75.0,52.0,41.0,45.0,28.0,41.0,45.0,36.0,35.0,43.0,50.0,62.0,28.0,42.0,53.0,2.1,46.3
54.0,50.0,30.0,45.0,70.0,40.0,24.0,25.0,40.0,16.0,26.0,57.0,50.0,38.0,53.0,48.0,46.0,45.0,62.0,51.0,25.0,28.0,45.0,45.0,47.0,52.0,36.0,72.0,21.0,27.0,1.7,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,43.2
48.0,68.0,55.0,70.0,74.0,70.0,60.0,53.0,74.0,64.0,70.0,58.0,64.0,54.0,68.0,50.0,51.0,63.0,66.0,64.0,74.0,66.0,54.0,62.0,77.0,48.0,55.0,60.0,55.0,18.0,60.0,29.0,53.0,45.0,61.0,65.0,61.0,47.0,50.0,53.0,3.4,57.1
63.0,65.0,76.0,45.0,54.0,46.0,77.0,65.0,68.0,58.0,45.0,61.0,60.0,46.0,49.0,60.0,72.0,70.0,73.0,69.0,61.0,81.0,84.0,73.0,50.0,57.0,47.0,45.0,57.0,45.0,68.0,45.0,48.0,72.0,55.0,50.0,66.0,62.0,76.0,67.0,75.0,61.1
75.0,54.0,58.0,57.0,50.0,45.0,57.0,38.0,38.0,47.0,44.0,60.0,26.0,17.0,39.0,36.0,32.0,26.0,18.0,47.0,31.0,43.0,50.0,58.0,65.0,60.0,45.0,70.0,65.0,47.0,70.0,63.0,75.0,55.0,45.0,65.0,46.0,58.0,26.0,36.0,38.0,48.2
55.0,71.0,47.0,50.0,60.0,50.0,50.0,82.0,53.0,50.0,78.0,40.0,32.0,43.0,41.0,47.0,26.0,34.0,57.0,28.0,43.0,42.0,21.0,49.0,56.0,63.0,44.0,47.0,60.0,62.0,64.0,54.0,45.0,61.0,50.0,26.0,0.0,64.0,48.0,52.0,82.0,49.4
40.0,50.0,52.0,30.0,48.0,45.0,42.0,25.0,57.0,54.0,53.0,51.0,41.0,48.0,54.0,23.0,47.0,59.0,35.0,52.0,40.0,77.0,67.0,53.0,67.0,42.0,56.0,51.0,50.0,18.0,61.0,40.0,45.0,41.0,37.0,60.0,52.0,29.0,66.0,45.0,2.0,46.5
60.0,57.0,77.0,51.0,60.0,64.0,63.0,34.0,50.0,57.0,45.0,48.0,46.0,45.0,53.0,50.0,50.0,64.0,54.0,70.0,45.0,52.0,46.0,62.0,72.0,33.0,56.0,70.0,29.0,42.0,50.0,45.0,60.0,36.0,41.0,28.0,39.0,45.0,53.0,74.0,77.0,52.5
45.0,20.0,56.0,16.0,55.0,58.0,48.0,9.0,40.0,33.0,21.0,14.0,45.0,46.0,21.0,18.0,28.0,40.0,54.0,35.0,52.0,55.0,28.0,50.0,35.0,15.0,17.0,19.0,29.0,51.0,17.0,41.0,27.0,42.0,40.0,17.0,32.0,31.0,39.0,50.0,31.0,34.6
51.0,63.0,60.0,57.0,54.0,60.0,50.0,51.0,66.0,55.0,40.0,63.0,40.0,40.0,35.0,42.0,48.0,41.0,63.0,25.0,55.0,49.0,48.0,51.0,30.0,66.0,51.0,41.0,58.0,62.0,56.0,46.0,45.0,45.0,46.0,27.0,32.0,32.0,83.0,45.0,46.0,49.2
53.0,56.0,50.0,50.0,41.0,45.0,56.0,53.0,60.0,41.0,34.0,34.0,46.0,50.0,54.0,72.0,33.0,48.0,50.0,48.0,50.0,70.0,42.0,43.0,61.0,50.0,50.0,46.0,59.0,72.0,50.0,66.0,48.0,56.0,71.0,46.0,56.0,62.0,58.0,61.0,57.0,52.4
43.0,52.0,65.0,50.0,79.0,70.0,40.0,40.0,55.0,64.0,66.0,43.0,51.0,40.0,61.0,66.0,51.0,67.0,48.0,59.0,59.0,69.0,56.0,64.0,65.0,73.0,57.0,70.0,55.0,41.0,50.0,40.0,60.0,52.0,50.0,76.0,60.0,36.0,55.0,46.0,3.1,54.8
48.0,55.0,56.0,46.0,54.0,42.0,53.0,56.0,67.0,60.0,76.0,73.0,46.0,66.0,65.0,45.0,72.0,58.0,58.0,80.0,79.0,58.0,55.0,73.0,68.0,69.0,76.0,76.0,55.0,50.0,70.0,72.0,45.0,37.0,76.0,77.0,52.0,96.0,68.0,3.6,47.8,60.5
